epoch,train_loss,test_loss,train_tp,train_fp,train_fn,train_tn,test_tp,test_fp,test_fn,test_tn
93,0.007908394,0.856098285,9948,0,0,8311,3183,144,107,2652
94,0.023071119,0.819338801,9942,4,6,8307,3147,158,143,2638
95,0.012369417,1.135009912,9942,2,6,8309,3152,146,138,2650
96,0.009371815,0.87119845,9945,6,3,8305,3175,166,115,2630
97,0.00945924,1.107427105,9948,0,0,8311,3176,139,114,2657
98,0.007872014,1.037776475,9947,2,1,8309,3158,147,132,2649
99,0.011822148,0.855535953,9946,31,2,8280,3207,217,83,2579
100,0.016313165,0.849566265,9947,1,1,8310,3184,179,106,2617
101,0.008774926,0.949251415,9943,2,5,8309,3145,128,145,2668
102,0.007531542,1.065822404,9938,2,10,8309,3128,122,162,2674
103,0.011040027,1.740167826,9946,3,2,8308,3178,166,112,2630
104,0.00691111,1.235476486,9948,1,0,8310,3187,172,103,2624
105,0.022629663,0.859783891,9945,22,3,8289,3193,241,97,2555
106,0.015077297,1.126643229,9944,3,4,8308,3173,148,117,2648
107,0.028983256,0.728403728,9948,1,0,8310,3165,147,125,2649
108,0.031167457,0.848254059,9946,0,2,8311,3164,141,126,2655
109,0.006376883,0.964286444,9944,1,4,8310,3150,134,140,2662
110,0.004175731,1.03862695,9948,0,0,8311,3195,177,95,2619
111,0.017745457,1.076128981,9933,7,15,8304,3112,145,178,2651
112,0.017557427,1.173310701,9946,1,2,8310,3173,140,117,2656
113,0.026263654,1.01643578,9938,2,10,8309,3159,157,131,2639
114,0.005922214,1.392625996,9948,0,0,8311,3160,118,130,2678
115,0.007109179,1.18747656,9944,0,4,8311,3144,140,146,2656
116,0.011078819,0.933390483,9947,3,1,8308,3181,153,109,2643
117,0.008874061,1.318260733,9948,1,0,8310,3223,211,67,2585
118,0.006794924,1.839741419,9948,1,0,8310,3185,178,105,2618
119,0.023562688,0.875587004,9946,11,2,8300,3184,203,106,2593
120,0.017903268,1.323472253,9948,4,0,8307,3200,207,90,2589
121,0.015139777,1.308296242,9944,0,4,8311,3140,125,150,2671
122,0.020097593,1.079333627,9947,0,1,8311,3172,144,118,2652
123,0.003036513,0.85458311,9948,0,0,8311,3141,130,149,2666
124,0.004527661,1.218424196,9943,0,5,8311,3116,91,174,2705
125,0.012551398,1.220809755,9945,0,3,8311,3159,144,131,2652
126,0.022693244,1.424853268,9945,4,3,8307,3174,170,116,2626
127,0.02161067,1.123658312,9947,4,1,8307,3177,167,113,2629
128,0.013785583,0.804422392,9947,0,1,8311,3182,157,108,2639
129,0.014719389,0.705780215,9947,7,1,8304,3191,190,99,2606
130,0.009271309,0.865171768,9938,0,10,8311,3112,112,178,2684
131,0.018645133,0.835715545,9936,3,12,8308,3101,112,189,2684
132,0.024409312,0.765030447,9946,2,2,8309,3149,144,141,2652
133,0.010435873,0.801666671,9947,0,1,8311,3161,120,129,2676
134,0.00747276,0.794338728,9948,1,0,8310,3180,167,110,2629
135,0.013750041,0.686129978,9946,8,2,8303,3178,181,112,2615
136,0.022231934,0.648918783,9943,0,5,8311,3112,120,178,2676
137,0.004619037,0.624818754,9948,0,0,8311,3186,172,104,2624
138,0.009644179,1.12962228,9946,2,2,8309,3161,162,129,2634
139,0.019641208,0.781077479,9946,31,2,8280,3199,227,91,2569
140,0.018784825,0.958097409,9948,0,0,8311,3162,158,128,2638
141,0.015512862,0.651671513,9946,3,2,8308,3148,125,142,2671
142,0.010183624,0.758468342,9945,0,3,8311,3125,132,165,2664
143,0.009670015,0.764585431,9948,12,0,8299,3215,234,75,2562
144,0.026282512,0.934215051,9932,0,16,8311,3089,92,201,2704
145,0.006988252,1.548613967,9948,1,0,8310,3165,142,125,2654
146,0.023945278,0.649250259,9945,2,3,8309,3154,143,136,2653
147,0.016528902,0.748324307,9947,2,1,8309,3172,155,118,2641
148,0.010864348,0.758112921,9948,0,0,8311,3175,135,115,2661
149,0.016748622,0.771694312,9941,1,7,8310,3114,123,176,2673
150,0.009748212,1.299995891,9948,1,0,8310,3185,166,105,2630
